iter	Passed	Remaining
0	142	141883
1	142	71333
2	144	48062
3	146	36412
4	147	29395
5	148	24679
6	149	21202
7	149	18590
8	150	16619
9	151	15037
10	152	13741
11	153	12650
12	154	11717
13	155	10973
14	157	10320
15	157	9716
16	158	9187
17	159	8707
18	160	8272
19	160	7885
20	161	7529
21	162	7211
22	162	6919
23	163	6650
24	164	6398
25	164	6165
26	165	5949
27	165	5749
28	166	5562
29	166	5386
30	167	5221
31	167	5068
32	168	4924
33	168	4788
34	169	4666
35	169	4550
36	170	4442
37	171	4337
38	172	4241
39	172	4146
40	173	4061
41	174	3976
42	174	3894
43	175	3816
44	176	3740
45	176	3668
46	177	3600
47	178	3534
48	178	3471
49	179	3410
50	180	3352
51	180	3294
52	181	3238
53	181	3185
54	182	3134
55	183	3089
56	184	3046
57	185	3005
58	185	2963
59	186	2921
60	187	2878
61	187	2838
62	188	2798
63	188	2759
64	189	2722
65	189	2685
66	190	2650
67	190	2615
68	191	2581
69	191	2547
70	192	2515
71	192	2484
72	193	2454
73	193	2426
74	194	2397
75	195	2371
76	195	2345
77	196	2319
78	196	2293
79	197	2269
80	198	2247
81	198	2225
82	199	2200
83	199	2178
84	200	2157
85	201	2137
86	201	2115
87	202	2095
88	202	2076
89	203	2057
90	204	2039
91	204	2021
92	205	2002
93	205	1985
94	206	1968
95	207	1951
96	207	1933
97	208	1916
98	208	1900
99	209	1885
100	210	1871
101	210	1855
102	211	1840
103	211	1825
104	212	1812
105	213	1801
106	214	1789
107	215	1777
108	215	1764
109	216	1752
110	217	1740
111	217	1728
112	218	1715
113	219	1702
114	219	1689
115	220	1677
116	220	1664
117	221	1653
118	221	1642
119	222	1631
120	223	1621
121	223	1609
122	224	1600
123	225	1590
124	225	1580
125	226	1570
126	227	1560
127	227	1553
128	228	1544
129	229	1536
130	230	1527
131	230	1518
132	231	1509
133	232	1500
134	232	1492
135	233	1483
136	234	1474
137	234	1466
138	235	1457
139	235	1449
140	236	1440
141	236	1431
142	237	1423
143	238	1415
144	238	1407
145	239	1399
146	239	1391
147	240	1383
148	240	1376
149	241	1368
150	242	1361
151	243	1357
152	243	1350
153	244	1343
154	245	1336
155	245	1330
156	246	1323
157	247	1317
158	247	1310
159	248	1303
160	248	1295
161	249	1289
162	249	1283
163	250	1276
164	251	1270
165	251	1264
166	252	1257
167	252	1251
168	253	1245
169	253	1238
170	254	1232
171	254	1226
172	255	1220
173	255	1214
174	256	1208
175	257	1203
176	257	1199
177	258	1194
178	259	1192
179	260	1187
180	261	1182
181	262	1178
182	262	1173
183	263	1168
184	264	1164
185	264	1159
186	265	1155
187	266	1150
188	266	1145
189	267	1141
190	268	1136
191	268	1131
192	269	1127
193	270	1123
194	271	1119
195	271	1114
196	272	1110
197	273	1107
198	274	1103
199	275	1100
200	275	1096
201	276	1093
202	277	1089
203	278	1085
204	278	1081
205	279	1078
